date,quantity
2006-01-01,210
2006-01-08,799
2006-01-15,847
2006-01-22,809
2006-01-29,839
2006-02-05,783
2006-02-12,725
2006-02-19,723
2006-02-26,656
2006-03-05,763
2006-03-12,735
2006-03-19,785
2006-03-26,741
2006-04-02,762
2006-04-09,719
2006-04-16,682
2006-04-23,145
2006-04-30,386
2006-05-07,855
2006-05-14,790
2006-05-21,814
2006-05-28,837
2006-06-04,832
2006-06-11,826
2006-06-18,885
2006-06-25,877
2006-07-02,877
2006-07-09,811
2006-07-16,833
2006-07-23,938
2006-07-30,931
2006-08-06,924
2006-08-13,959
2006-08-20,883
2006-08-27,876
2006-09-03,894
2006-09-10,832
2006-09-17,959
2006-09-24,885
2006-10-01,1026
2006-10-08,922
2006-10-15,908
2006-10-22,895
2006-10-29,907
2006-11-05,878
2006-11-12,818
2006-11-19,853
2006-11-26,783
2006-12-03,922
2006-12-10,856
2006-12-17,846
2006-12-24,831
2006-12-31,725
2007-01-07,895
2007-01-14,820
2007-01-21,804
2007-01-28,726
2007-02-04,755
2007-02-11,749
2007-02-18,709
2007-02-25,739
2007-03-04,724
2007-03-11,662
2007-03-18,755
2007-03-25,744
2007-04-01,767
2007-04-08,685
2007-04-15,751
2007-04-22,763
2007-04-29,752
2007-05-06,797
2007-05-13,760
2007-05-20,781
2007-05-27,840
2007-06-03,804
2007-06-10,782
2007-06-17,795
2007-06-24,847
2007-07-01,885
2007-07-08,779
2007-07-15,752
2007-07-22,862
2007-07-29,878
2007-08-05,899
2007-08-12,849
2007-08-19,836
2007-08-26,819
2007-09-02,842
2007-09-09,824
2007-09-16,921
2007-09-23,801
2007-09-30,881
2007-10-07,893
2007-10-14,826
2007-10-21,908
2007-10-28,850
2007-11-04,911
2007-11-11,861
2007-11-18,816
2007-11-25,739
2007-12-02,820
2007-12-09,834
2007-12-16,865
2007-12-23,883
2007-12-30,736
2008-01-06,900
2008-01-13,851
2008-01-20,757
2008-01-27,767
2008-02-03,785
2008-02-10,733
2008-02-17,660
2008-02-24,655
2008-03-02,726
2008-03-09,730
2008-03-16,741
2008-03-23,744
2008-03-30,711
2008-04-06,761
2008-04-13,766
2008-04-20,734
2008-04-27,690
2008-05-04,770
2008-05-11,782
2008-05-18,751
2008-05-25,765
2008-06-01,818
2008-06-08,769
2008-06-15,788
2008-06-22,832
2008-06-29,784
2008-07-06,773
2008-07-13,740
2008-07-20,824
2008-07-27,832
2008-08-03,874
2008-08-10,840
2008-08-17,848
2008-08-24,797
2008-08-31,834
2008-09-07,815
2008-09-14,870
2008-09-21,882
2008-09-28,786
2008-10-05,837
2008-10-12,860
2008-10-19,817
2008-10-26,851
2008-11-02,864
2008-11-09,829
2008-11-16,725
2008-11-23,805
2008-11-30,790
2008-12-07,834
2008-12-14,846
2008-12-21,760
2008-12-28,728
2009-01-04,799
2009-01-11,722
2009-01-18,711
2009-01-25,660
2009-02-01,713
2009-02-08,663
2009-02-15,674
2009-02-22,683
2009-03-01,689
2009-03-08,698
2009-03-15,655
2009-03-22,701
2009-03-29,678
2009-04-05,713
2009-04-12,656
2009-04-19,663
2009-04-26,732
2009-05-03,799
2009-05-10,668
2009-05-17,758
2009-05-24,754
2009-05-31,660
2009-06-07,708
2009-06-14,723
2009-06-21,711
2009-06-28,727
2009-07-05,678
2009-07-12,736
2009-07-19,730
2009-07-26,709
2009-08-02,728
2009-08-09,787
2009-08-16,751
2009-08-23,780
2009-08-30,725
2009-09-06,794
2009-09-13,728
2009-09-20,729
2009-09-27,749
2009-10-04,736
2009-10-11,742
2009-10-18,719
2009-10-25,773
2009-11-01,830
2009-11-08,698
2009-11-15,756
2009-11-22,752
2009-11-29,691
2009-12-06,732
2009-12-13,707
2009-12-20,722
2009-12-27,631
2010-01-03,713
2010-01-10,734
2010-01-17,717
2010-01-24,737
2010-01-31,631
2010-02-07,665
2010-02-14,588
2010-02-21,636
2010-02-28,585
2010-03-07,653
2010-03-14,597
2010-03-21,697
2010-03-28,653
2010-04-04,607
2010-04-11,654
2010-04-18,618
2010-04-25,686
2010-05-02,669
2010-05-09,684
2010-05-16,648
2010-05-23,665
2010-05-30,632
2010-06-06,623
2010-06-13,612
2010-06-20,673
