date,quantity
2006-01-01,235
2006-01-08,1170
2006-01-15,1167
2006-01-22,1197
2006-01-29,1241
2006-02-05,1212
2006-02-12,1193
2006-02-19,1218
2006-02-26,1151
2006-03-05,1187
2006-03-12,1277
2006-03-19,1280
2006-03-26,1227
2006-04-02,1283
2006-04-09,1237
2006-04-16,1174
2006-04-23,186
2006-04-30,533
2006-05-07,1300
2006-05-14,1235
2006-05-21,1204
2006-05-28,1299
2006-06-04,1202
2006-06-11,1290
2006-06-18,1358
2006-06-25,1425
2006-07-02,1294
2006-07-09,1337
2006-07-16,1342
2006-07-23,1337
2006-07-30,1311
2006-08-06,1298
2006-08-13,1440
2006-08-20,1396
2006-08-27,1297
2006-09-03,1332
2006-09-10,1275
2006-09-17,1317
2006-09-24,1285
2006-10-01,1421
2006-10-08,1365
2006-10-15,1286
2006-10-22,1299
2006-10-29,1322
2006-11-05,1342
2006-11-12,1330
2006-11-19,1268
2006-11-26,1203
2006-12-03,1239
2006-12-10,1249
2006-12-17,1324
2006-12-24,1168
2006-12-31,1085
2007-01-07,1441
2007-01-14,1350
2007-01-21,1361
2007-01-28,1385
2007-02-04,1232
2007-02-11,1329
2007-02-18,1194
2007-02-25,1320
2007-03-04,1416
2007-03-11,1312
2007-03-18,1262
2007-03-25,1388
2007-04-01,1428
2007-04-08,1200
2007-04-15,1327
2007-04-22,1412
2007-04-29,1475
2007-05-06,1417
2007-05-13,1420
2007-05-20,1387
2007-05-27,1376
2007-06-03,1406
2007-06-10,1350
2007-06-17,1450
2007-06-24,1419
2007-07-01,1402
2007-07-08,1278
2007-07-15,1417
2007-07-22,1410
2007-07-29,1446
2007-08-05,1433
2007-08-12,1356
2007-08-19,1436
2007-08-26,1348
2007-09-02,1368
2007-09-09,1389
2007-09-16,1530
2007-09-23,1498
2007-09-30,1418
2007-10-07,1426
2007-10-14,1402
2007-10-21,1445
2007-10-28,1403
2007-11-04,1361
2007-11-11,1398
2007-11-18,1387
2007-11-25,1227
2007-12-02,1226
2007-12-09,1240
2007-12-16,1257
2007-12-23,1349
2007-12-30,1119
2008-01-06,1364
2008-01-13,1408
2008-01-20,1452
2008-01-27,1338
2008-02-03,1373
2008-02-10,1392
2008-02-17,1213
2008-02-24,1254
2008-03-02,1302
2008-03-09,1358
2008-03-16,1388
2008-03-23,1451
2008-03-30,1392
2008-04-06,1381
2008-04-13,1398
2008-04-20,1357
2008-04-27,1251
2008-05-04,1306
2008-05-11,1329
2008-05-18,1389
2008-05-25,1319
2008-06-01,1352
2008-06-08,1461
2008-06-15,1386
2008-06-22,1434
2008-06-29,1444
2008-07-06,1340
2008-07-13,1340
2008-07-20,1441
2008-07-27,1404
2008-08-03,1515
2008-08-10,1522
2008-08-17,1448
2008-08-24,1373
2008-08-31,1394
2008-09-07,1332
2008-09-14,1362
2008-09-21,1476
2008-09-28,1342
2008-10-05,1456
2008-10-12,1428
2008-10-19,1415
2008-10-26,1348
2008-11-02,1289
2008-11-09,1230
2008-11-16,1223
2008-11-23,1373
2008-11-30,1146
2008-12-07,1345
2008-12-14,1388
2008-12-21,1210
2008-12-28,1060
2009-01-04,1337
2009-01-11,1324
2009-01-18,1215
2009-01-25,1389
2009-02-01,1342
2009-02-08,1225
2009-02-15,1463
2009-02-22,1317
2009-03-01,1344
2009-03-08,1341
2009-03-15,1455
2009-03-22,1494
2009-03-29,1464
2009-04-05,1391
2009-04-12,1395
2009-04-19,1364
2009-04-26,1409
2009-05-03,1418
2009-05-10,1349
2009-05-17,1507
2009-05-24,1415
2009-05-31,1258
2009-06-07,1270
2009-06-14,1412
2009-06-21,1441
2009-06-28,1499
2009-07-05,1459
2009-07-12,1431
2009-07-19,1432
2009-07-26,1433
2009-08-02,1364
2009-08-09,1466
2009-08-16,1480
2009-08-23,1399
2009-08-30,1417
2009-09-06,1430
2009-09-13,1328
2009-09-20,1518
2009-09-27,1435
2009-10-04,1445
2009-10-11,1517
2009-10-18,1376
2009-10-25,1446
2009-11-01,1476
2009-11-08,1359
2009-11-15,1391
2009-11-22,1512
2009-11-29,1231
2009-12-06,1363
2009-12-13,1175
2009-12-20,1169
2009-12-27,1093
2010-01-03,1311
2010-01-10,1331
2010-01-17,1480
2010-01-24,1420
2010-01-31,1277
2010-02-07,1330
2010-02-14,1129
2010-02-21,1297
2010-02-28,1133
2010-03-07,1429
2010-03-14,1311
2010-03-21,1481
2010-03-28,1436
2010-04-04,1354
2010-04-11,1469
2010-04-18,1409
2010-04-25,1414
2010-05-02,1458
2010-05-09,1473
2010-05-16,1474
2010-05-23,1399
2010-05-30,1294
2010-06-06,1391
2010-06-13,1515
2010-06-20,1489
2010-06-27,1381
2010-07-04,1429
2010-07-11,1339
2010-07-18,1361
2010-07-25,1417
2010-08-01,1429
2010-08-08,1474
2010-08-15,1447
2010-08-22,1364
2010-08-29,1382
2010-09-05,1469
2010-09-12,1371
2010-09-19,1453
2010-09-26,1415
2010-10-03,1360
2010-10-10,1516
2010-10-17,1423
2010-10-24,1451
2010-10-31,1473
2010-11-07,1278
2010-11-14,1383
2010-11-21,1435
2010-11-28,1290
2010-12-05,1263
2010-12-12,1237
2010-12-19,1244
2010-12-26,1056
2011-01-02,1057
2011-01-09,1199
2011-01-16,1162
2011-01-23,1270
2011-01-30,1101
2011-02-06,1154
2011-02-13,1248
2011-02-20,1380
2011-02-27,1295
2011-03-06,1278
2011-03-13,1339
2011-03-20,1318
2011-03-27,1220
2011-04-03,1309
2011-04-10,1406
2011-04-17,1299
2011-04-24,1237
2011-05-01,1385
2011-05-08,1287
2011-05-15,1459
2011-05-22,1350
2011-05-29,1410
2011-06-05,1377
2011-06-12,1422
2011-06-19,1459
2011-06-26,1424
2011-07-03,1328
2011-07-10,1349
2011-07-17,1453
2011-07-24,1317
2011-07-31,1344
2011-08-07,1335
2011-08-14,1334
2011-08-21,1369
2011-08-28,1128
2011-09-04,1392
2011-09-11,1165
2011-09-18,1343
2011-09-25,1270
2011-10-02,1258
2011-10-09,1339
2011-10-16,1266
2011-10-23,1420
2011-10-30,1190
2011-11-06,1414
2011-11-13,1382
2011-11-20,1333
2011-11-27,1217
2011-12-04,1346
2011-12-11,1335
2011-12-18,1322
2011-12-25,1142
2012-01-01,1336
2012-01-08,1278
2012-01-15,1337
2012-01-22,1200
2012-01-29,1426
2012-02-05,1375
2012-02-12,1356
2012-02-19,1393
2012-02-26,1296
2012-03-04,1312
2012-03-11,1392
2012-03-18,1519
2012-03-25,1480
2012-04-01,1396
2012-04-08,1450
2012-04-15,1310
2012-04-22,1461
2012-04-29,1412
2012-05-06,1412
2012-05-13,1439
2012-05-20,1467
2012-05-27,1397
2012-06-03,1412
2012-06-10,1394
2012-06-17,1395
2012-06-24,1338
2012-07-01,1364
2012-07-08,1366
2012-07-15,1469
2012-07-22,1360
2012-07-29,1489
2012-08-05,1485
2012-08-12,1506
2012-08-19,1447
2012-08-26,1418
2012-09-02,1423
2012-09-09,1282
2012-09-16,1489
2012-09-23,1434
2012-09-30,1336
2012-10-07,1418
2012-10-14,1351
2012-10-21,1390
2012-10-28,1170
2012-11-04,679
2012-11-11,963
2012-11-18,1233
2012-11-25,1116
2012-12-02,1277
2012-12-09,1244
2012-12-16,1316
2012-12-23,1227
2012-12-30,1101
2013-01-06,1344
2013-01-13,1334
2013-01-20,1312
2013-01-27,1120
2013-02-03,1274
2013-02-10,1165
2013-02-17,1335
2013-02-24,1267
2013-03-03,1212
2013-03-10,1228
2013-03-17,1379
2013-03-24,1239
2013-03-31,1247
2013-04-07,1323
2013-04-14,1372
2013-04-21,1295
2013-04-28,1337
2013-05-05,1324
2013-05-12,1429
2013-05-19,1386
2013-05-26,1314
2013-06-02,1379
2013-06-09,1304
2013-06-16,1346
2013-06-23,1427
2013-06-30,1400
2013-07-07,1281
2013-07-14,1403
2013-07-21,1423
2013-07-28,1456
2013-08-04,1357
2013-08-11,1419
2013-08-18,1383
2013-08-25,1396
2013-09-01,1314
2013-09-08,1346
2013-09-15,1455
2013-09-22,1413
2013-09-29,1346
2013-10-06,1415
2013-10-13,1349
2013-10-20,1232
2013-10-27,1269
2013-11-03,1318
2013-11-10,1247
2013-11-17,1324
2013-11-24,1261
2013-12-01,1084
2013-12-08,1275
2013-12-15,1135
2013-12-22,1230
2013-12-29,1132
2014-01-05,1104
2014-01-12,1130
2014-01-19,1328
2014-01-26,1091
2014-02-02,1155
2014-02-09,1125
2014-02-16,1100
2014-02-23,1304
2014-03-02,1277
2014-03-09,1285
2014-03-16,1209
2014-03-23,1246
2014-03-30,1235
2014-04-06,1280
2014-04-13,1275
2014-04-20,1194
2014-04-27,1261
2014-05-04,1234
2014-05-11,1324
2014-05-18,1442
2014-05-25,1413
2014-06-01,1396
2014-06-08,1267
2014-06-15,1330
2014-06-22,1450
2014-06-29,1287
2014-07-06,1393
2014-07-13,1259
2014-07-20,1332
2014-07-27,1298
2014-08-03,1229
2014-08-10,1411
2014-08-17,1350
2014-08-24,1277
2014-08-31,1299
2014-09-07,1352
2014-09-14,1287
2014-09-21,1385
2014-09-28,1279
2014-10-05,1274
2014-10-12,1331
2014-10-19,1384
2014-10-26,1190
2014-11-02,1181
2014-11-09,1288
2014-11-16,1189
2014-11-23,1128
2014-11-30,1031
2014-12-07,1075
2014-12-14,1113
2014-12-21,1084
2014-12-28,684
2015-01-04,960
2015-01-11,900
2015-01-18,1116
2015-01-25,1150
2015-02-01,1031
2015-02-08,1003
2015-02-15,1146
2015-02-22,1018
2015-03-01,1162
2015-03-08,1051
2015-03-15,1211
2015-03-22,1210
2015-03-29,1199
2015-04-05,1281
2015-04-12,1219
2015-04-19,1353
2015-04-26,1258
2015-05-03,1339
2015-05-10,1165
2015-05-17,1307
2015-05-24,1269
2015-05-31,1292
2015-06-07,1315
2015-06-14,1291
2015-06-21,1299
2015-06-28,1302
2015-07-05,1314
2015-07-12,1258
2015-07-19,1284
2015-07-26,1325
2015-08-02,1343
2015-08-09,1292
2015-08-16,1353
2015-08-23,1248
2015-08-30,1257
2015-09-06,1339
2015-09-13,1160
2015-09-20,1355
2015-09-27,1220
2015-10-04,1154
2015-10-11,1278
2015-10-18,1253
2015-10-25,1214
