date,quantity
2006-01-01,49
2006-01-08,251
2006-01-15,246
2006-01-22,243
2006-01-29,218
2006-02-05,258
2006-02-12,249
2006-02-19,227
2006-02-26,226
2006-03-05,241
2006-03-12,295
2006-03-19,269
2006-03-26,259
2006-04-02,265
2006-04-09,248
2006-04-16,207
2006-04-23,52
2006-04-30,101
2006-05-07,292
2006-05-14,259
2006-05-21,267
2006-05-28,266
2006-06-04,321
2006-06-11,280
2006-06-18,254
2006-06-25,306
2006-07-02,252
2006-07-09,260
2006-07-16,266
2006-07-23,253
2006-07-30,258
2006-08-06,289
2006-08-13,256
2006-08-20,242
2006-08-27,227
2006-09-03,212
2006-09-10,259
2006-09-17,292
2006-09-24,294
2006-10-01,312
2006-10-08,286
2006-10-15,250
2006-10-22,293
2006-10-29,262
2006-11-05,290
2006-11-12,262
2006-11-19,261
2006-11-26,203
2006-12-03,246
2006-12-10,235
2006-12-17,272
2006-12-24,220
2006-12-31,197
2007-01-07,294
2007-01-14,236
2007-01-21,221
2007-01-28,215
2007-02-04,217
2007-02-11,229
2007-02-18,207
2007-02-25,215
2007-03-04,264
2007-03-11,284
2007-03-18,276
2007-03-25,248
2007-04-01,216
2007-04-08,225
2007-04-15,249
2007-04-22,268
2007-04-29,254
2007-05-06,262
2007-05-13,272
2007-05-20,283
2007-05-27,271
2007-06-03,284
2007-06-10,296
2007-06-17,284
2007-06-24,260
2007-07-01,250
2007-07-08,223
2007-07-15,248
2007-07-22,228
2007-07-29,265
2007-08-05,277
2007-08-12,263
2007-08-19,258
2007-08-26,228
2007-09-02,271
2007-09-09,308
2007-09-16,262
2007-09-23,262
2007-09-30,304
2007-10-07,281
2007-10-14,259
2007-10-21,321
2007-10-28,239
2007-11-04,244
2007-11-11,261
2007-11-18,247
2007-11-25,214
2007-12-02,232
2007-12-09,216
2007-12-16,289
2007-12-23,257
2007-12-30,200
2008-01-06,237
2008-01-13,257
2008-01-20,269
2008-01-27,211
2008-02-03,223
2008-02-10,230
2008-02-17,220
2008-02-24,224
2008-03-02,227
2008-03-09,230
2008-03-16,270
2008-03-23,209
2008-03-30,237
2008-04-06,283
2008-04-13,261
2008-04-20,242
2008-04-27,212
2008-05-04,246
2008-05-11,233
2008-05-18,225
2008-05-25,219
2008-06-01,251
2008-06-08,269
2008-06-15,263
2008-06-22,282
2008-06-29,279
2008-07-06,190
2008-07-13,243
2008-07-20,262
2008-07-27,220
2008-08-03,267
2008-08-10,265
2008-08-17,218
2008-08-24,243
2008-08-31,230
2008-09-07,283
2008-09-14,289
2008-09-21,288
2008-09-28,262
2008-10-05,228
2008-10-12,244
2008-10-19,236
2008-10-26,212
2008-11-02,275
2008-11-09,227
2008-11-16,235
2008-11-23,244
2008-11-30,226
2008-12-07,240
2008-12-14,196
2008-12-21,211
2008-12-28,151
2009-01-04,188
2009-01-11,226
2009-01-18,211
2009-01-25,204
2009-02-01,279
2009-02-08,219
2009-02-15,211
2009-02-22,194
2009-03-01,219
2009-03-08,225
2009-03-15,230
2009-03-22,235
2009-03-29,195
2009-04-05,248
2009-04-12,203
2009-04-19,222
2009-04-26,226
2009-05-03,270
2009-05-10,265
2009-05-17,258
2009-05-24,257
2009-05-31,246
2009-06-07,269
2009-06-14,260
2009-06-21,235
2009-06-28,294
2009-07-05,229
2009-07-12,242
2009-07-19,235
2009-07-26,208
2009-08-02,233
2009-08-09,267
2009-08-16,232
2009-08-23,244
2009-08-30,240
2009-09-06,209
2009-09-13,245
2009-09-20,256
2009-09-27,262
2009-10-04,254
2009-10-11,223
2009-10-18,207
2009-10-25,253
2009-11-01,275
2009-11-08,231
2009-11-15,217
2009-11-22,239
2009-11-29,215
2009-12-06,206
2009-12-13,239
2009-12-20,234
2009-12-27,196
2010-01-03,184
2010-01-10,227
2010-01-17,226
2010-01-24,226
2010-01-31,205
2010-02-07,229
2010-02-14,185
2010-02-21,197
2010-02-28,214
2010-03-07,243
2010-03-14,210
2010-03-21,271
2010-03-28,237
2010-04-04,208
2010-04-11,222
2010-04-18,259
2010-04-25,233
2010-05-02,272
2010-05-09,244
2010-05-16,238
2010-05-23,247
2010-05-30,221
2010-06-06,249
2010-06-13,241
2010-06-20,245
2010-06-27,245
2010-07-04,218
2010-07-11,240
2010-07-18,239
2010-07-25,236
2010-08-01,245
2010-08-08,235
2010-08-15,234
2010-08-22,220
2010-08-29,193
2010-09-05,220
2010-09-12,218
2010-09-19,223
2010-09-26,252
2010-10-03,228
2010-10-10,222
2010-10-17,185
2010-10-24,210
2010-10-31,260
2010-11-07,221
2010-11-14,216
2010-11-21,265
2010-11-28,189
2010-12-05,210
2010-12-12,206
2010-12-19,210
2010-12-26,169
2011-01-02,198
2011-01-09,210
2011-01-16,195
2011-01-23,210
2011-01-30,163
2011-02-06,208
2011-02-13,198
2011-02-20,220
2011-02-27,186
2011-03-06,203
2011-03-13,207
2011-03-20,214
2011-03-27,236
2011-04-03,192
2011-04-10,238
2011-04-17,209
2011-04-24,204
2011-05-01,251
2011-05-08,204
2011-05-15,230
2011-05-22,212
2011-05-29,244
2011-06-05,257
2011-06-12,202
2011-06-19,244
2011-06-26,208
2011-07-03,238
2011-07-10,205
2011-07-17,219
2011-07-24,208
2011-07-31,187
2011-08-07,228
2011-08-14,198
2011-08-21,207
2011-08-28,173
2011-09-04,230
2011-09-11,197
2011-09-18,242
2011-09-25,218
2011-10-02,236
2011-10-09,200
2011-10-16,201
2011-10-23,222
2011-10-30,208
2011-11-06,211
2011-11-13,240
2011-11-20,204
2011-11-27,170
2011-12-04,231
2011-12-11,205
2011-12-18,220
2011-12-25,226
2012-01-01,160
2012-01-08,228
2012-01-15,198
2012-01-22,221
2012-01-29,203
2012-02-05,214
2012-02-12,217
2012-02-19,209
2012-02-26,185
2012-03-04,215
2012-03-11,230
2012-03-18,242
2012-03-25,233
2012-04-01,273
2012-04-08,209
2012-04-15,208
2012-04-22,243
2012-04-29,228
2012-05-06,208
2012-05-13,238
2012-05-20,235
2012-05-27,235
2012-06-03,241
2012-06-10,257
2012-06-17,225
2012-06-24,213
2012-07-01,249
2012-07-08,210
2012-07-15,252
2012-07-22,234
2012-07-29,224
2012-08-05,269
2012-08-12,221
2012-08-19,194
2012-08-26,264
2012-09-02,210
2012-09-09,231
2012-09-16,247
2012-09-23,233
2012-09-30,254
2012-10-07,248
2012-10-14,235
2012-10-21,237
2012-10-28,234
2012-11-04,169
2012-11-11,190
2012-11-18,231
2012-11-25,187
2012-12-02,217
2012-12-09,221
2012-12-16,229
2012-12-23,196
2012-12-30,133
2013-01-06,193
2013-01-13,242
2013-01-20,219
2013-01-27,194
2013-02-03,231
2013-02-10,208
2013-02-17,204
2013-02-24,196
2013-03-03,254
2013-03-10,199
2013-03-17,208
2013-03-24,201
2013-03-31,210
2013-04-07,176
2013-04-14,221
2013-04-21,240
2013-04-28,222
2013-05-05,207
2013-05-12,212
2013-05-19,221
2013-05-26,244
2013-06-02,232
2013-06-09,219
2013-06-16,251
2013-06-23,211
2013-06-30,211
2013-07-07,212
2013-07-14,237
2013-07-21,211
2013-07-28,230
2013-08-04,217
2013-08-11,238
2013-08-18,209
2013-08-25,228
2013-09-01,237
2013-09-08,222
2013-09-15,231
2013-09-22,226
2013-09-29,232
2013-10-06,220
2013-10-13,225
2013-10-20,185
2013-10-27,246
2013-11-03,250
2013-11-10,231
2013-11-17,201
2013-11-24,212
2013-12-01,209
2013-12-08,214
2013-12-15,217
2013-12-22,221
2013-12-29,166
2014-01-05,185
2014-01-12,185
2014-01-19,231
2014-01-26,194
2014-02-02,223
2014-02-09,193
2014-02-16,175
2014-02-23,168
2014-03-02,197
2014-03-09,204
2014-03-16,217
2014-03-23,223
2014-03-30,198
2014-04-06,234
2014-04-13,226
2014-04-20,209
2014-04-27,216
2014-05-04,234
2014-05-11,240
2014-05-18,213
2014-05-25,285
2014-06-01,296
2014-06-08,279
2014-06-15,277
2014-06-22,257
2014-06-29,263
2014-07-06,291
2014-07-13,276
2014-07-20,262
2014-07-27,258
2014-08-03,284
2014-08-10,250
2014-08-17,258
2014-08-24,220
2014-08-31,230
2014-09-07,258
2014-09-14,278
2014-09-21,261
2014-09-28,225
2014-10-05,266
2014-10-12,235
2014-10-19,228
2014-10-26,246
2014-11-02,243
2014-11-09,219
2014-11-16,241
2014-11-23,206
2014-11-30,189
2014-12-07,231
2014-12-14,200
2014-12-21,209
2014-12-28,199
2015-01-04,196
2015-01-11,196
2015-01-18,204
2015-01-25,197
2015-02-01,184
2015-02-08,196
2015-02-15,221
2015-02-22,192
2015-03-01,217
2015-03-08,220
2015-03-15,227
2015-03-22,185
2015-03-29,226
2015-04-05,260
2015-04-12,219
2015-04-19,265
2015-04-26,231
2015-05-03,252
2015-05-10,281
2015-05-17,278
2015-05-24,226
2015-05-31,298
2015-06-07,249
2015-06-14,270
2015-06-21,277
2015-06-28,270
2015-07-05,250
2015-07-12,230
2015-07-19,259
2015-07-26,277
2015-08-02,259
2015-08-09,255
2015-08-16,292
2015-08-23,265
2015-08-30,241
2015-09-06,244
2015-09-13,233
2015-09-20,269
2015-09-27,247
2015-10-04,246
2015-10-11,257
2015-10-18,250
2015-10-25,237
2015-11-01,272
2015-11-08,267
2015-11-15,234
2015-11-22,254
2015-11-29,201
2015-12-06,246
2015-12-13,252
2015-12-20,265
2015-12-27,179
2016-01-03,210
2016-01-10,221
2016-01-17,242
2016-01-24,225
2016-01-31,247
2016-02-07,240
2016-02-14,219
2016-02-21,193
2016-02-28,227
2016-03-06,251
2016-03-13,255
2016-03-20,237
2016-03-27,263
2016-04-03,269
2016-04-10,252
2016-04-17,256
2016-04-24,278
2016-05-01,222
2016-05-08,250
2016-05-15,287
2016-05-22,281
2016-05-29,264
2016-06-05,265
2016-06-12,260
2016-06-19,277
2016-06-26,285
2016-07-03,273
2016-07-10,222
2016-07-17,237
2016-07-24,258
2016-07-31,263
2016-08-07,277
2016-08-14,272
2016-08-21,310
2016-08-28,254
2016-09-04,252
2016-09-11,255
2016-09-18,270
2016-09-25,266
2016-10-02,251
2016-10-09,260
2016-10-16,258
2016-10-23,289
2016-10-30,232
2016-11-06,296
2016-11-13,216
2016-11-20,271
2016-11-27,201
2016-12-04,268
2016-12-11,255
2016-12-18,207
2016-12-25,239
2017-01-01,196
2017-01-08,202
2017-01-15,236
2017-01-22,219
2017-01-29,224
2017-02-05,257
2017-02-12,212
2017-02-19,252
2017-02-26,230
2017-03-05,245
2017-03-12,204
2017-03-19,198
2017-03-26,231
2017-04-02,252
2017-04-09,259
2017-04-16,237
2017-04-23,230
2017-04-30,274
2017-05-07,282
2017-05-14,268
2017-05-21,276
2017-05-28,245
2017-06-04,263
2017-06-11,261
2017-06-18,225
2017-06-25,258
2017-07-02,245
2017-07-09,248
2017-07-16,252
2017-07-23,260
2017-07-30,232
2017-08-06,262
2017-08-13,213
2017-08-20,262
2017-08-27,260
2017-09-03,213
2017-09-10,253
2017-09-17,272
2017-09-24,271
