,quantity
2018-01-07,525.7347673994634
2018-01-14,575.9488977995081
2018-01-21,562.6961915322206
2018-01-28,618.6503548708512
2018-02-04,573.4876926772266
2018-02-11,534.1022605863828
2018-02-18,560.3400389605471
2018-02-25,577.0783348553367
2018-03-04,586.5556324356639
2018-03-11,599.4091786645721
2018-03-18,568.335912136169
2018-03-25,594.3623112778688
2018-04-01,588.9457810012389
2018-04-08,599.8264613076685
2018-04-15,625.3323371403669
2018-04-22,612.1262601070181
2018-04-29,621.8060019869915
2018-05-06,635.3084564816552
2018-05-13,632.7468146248609
2018-05-20,650.452640065884
2018-05-27,617.9135004908561
2018-06-03,646.502555051629
2018-06-10,612.9773001755254
2018-06-17,634.1584342662995
2018-06-24,673.3845674679255
2018-07-01,686.0369426918983
2018-07-08,645.386125070034
2018-07-15,646.5923661566218
2018-07-22,722.0234883569934
2018-07-29,658.8464944133958
2018-08-05,701.8010221222926
2018-08-12,647.3061659890689
2018-08-19,678.7614438368564
2018-08-26,688.2781981841916
2018-09-02,707.1846885711425
2018-09-09,645.060284348778
2018-09-16,664.9067612380053
2018-09-23,631.8256267231485
2018-09-30,668.265175136197
2018-10-07,654.3281941108683
2018-10-14,669.3956216250879
2018-10-21,691.4452321841095
2018-10-28,696.1888228456024
2018-11-04,702.4441070021634
2018-11-11,610.3950727475675
2018-11-18,631.9293576699628
2018-11-25,604.6946155298558
2018-12-02,651.2648284795827
2018-12-09,682.8116438690967
2018-12-16,659.3597173760834
2018-12-23,641.1781389302228
2018-12-30,565.5273385187138
2019-01-06,534.9244766692677
2019-01-13,568.6581281177861
2019-01-20,562.4858877752771
2019-01-27,603.6775900963844
2019-02-03,564.382003210752
2019-02-10,515.4842565220376
2019-02-17,552.252508922902
2019-02-24,564.2182675033359
2019-03-03,576.9933520412395
2019-03-10,580.8315190803844
2019-03-17,551.337047470734
2019-03-24,583.5938113984337
2019-03-31,574.7896008072984
2019-04-07,587.06123415245
2019-04-14,612.7844352434544
2019-04-21,597.0414488234004
2019-04-28,610.4742185256188
2019-05-05,624.9704723282667
2019-05-12,619.4769899249264
2019-05-19,643.659165096308
2019-05-26,603.4103494726141
2019-06-02,630.753922688098
2019-06-09,601.2391838577691
2019-06-16,614.7375759855067
2019-06-23,661.3484843957389
2019-06-30,674.9290513698303
2019-07-07,632.8727935681129
2019-07-14,630.0595291236598
2019-07-21,709.6629796035753
2019-07-28,644.5060719606217
2019-08-04,689.9295324181281
2019-08-11,634.3153758019022
2019-08-18,664.0915703801832
2019-08-25,672.4916683853774
2019-09-01,695.264817475307
2019-09-08,633.618063276805
2019-09-15,651.7348278759489
2019-09-22,621.695102633607
2019-09-29,658.9019553973274
2019-10-06,644.2561023543021
2019-10-13,657.566224327029
2019-10-20,681.3597131887827
2019-10-27,686.83403666907
2019-11-03,692.2421605218452
2019-11-10,598.448754215061
2019-11-17,621.320773415085
2019-11-24,593.6468595788303
2019-12-01,636.0659252010119
2019-12-08,669.6496282084988
2019-12-15,643.3328854571237
2019-12-22,633.2247390287605
2019-12-29,538.6280526942658
2020-01-05,518.9175523058836
2020-01-12,554.5744037091837
2020-01-19,547.5759172485214
2020-01-26,590.4903456043061
2020-02-02,550.5101009542753
2020-02-09,502.72240808418076
2020-02-16,538.2617864003524
2020-02-23,550.7844819659157
2020-03-01,563.174728006811
2020-03-08,568.0649664154812
2020-03-15,538.3862565904456
2020-03-22,569.9159465283849
2020-03-29,561.507073733703
2020-04-05,573.6163838347962
2020-04-12,599.314224943799
2020-04-19,583.8672895862742
2020-04-26,596.8620894238313
2020-05-03,611.2423681928343
2020-05-10,606.0910261519944
2020-05-17,629.5174240498333
2020-05-24,590.1683122872952
2020-05-31,617.6572304038324
2020-06-07,587.6744726804284
2020-06-14,602.0694250547733
2020-06-21,647.8185453009785
2020-06-28,661.2907940930545
2020-07-05,619.398548376622
2020-07-12,617.0543520159408
2020-07-19,696.170900295559
2020-07-26,631.2450445305338
2020-08-02,676.3803855724007
2020-08-09,620.8968490313088
2020-08-16,650.8689892342592
2020-08-23,659.399398756433
2020-08-30,681.7213166328264
2020-09-06,620.0188216389449
2020-09-13,638.3374401570957
2020-09-20,607.9427886214231
2020-09-27,645.0600985280934
2020-10-04,630.496969408197
2020-10-11,644.0121653728746
2020-10-18,667.6021471746337
2020-10-25,672.9911956193089
2020-11-01,678.4981813591551
2020-11-08,584.9083397311018
2020-11-15,607.6242480555111
2020-11-22,580.001584665264
2020-11-29,622.9050807548099
2020-12-06,656.2510831117338
2020-12-13,630.2686586028997
2020-12-20,619.218359044582
2020-12-27,526.8326191434538
2021-01-03,505.8510022804607
