,number_of_crimes
2018-01-07,1031.3905564572633
2018-01-14,1204.7366854768468
2018-01-21,1147.067653240998
2018-01-28,1189.9189994636395
2018-02-04,1183.8215014355592
2018-02-11,1153.1503701451745
2018-02-18,1141.5226543338679
2018-02-25,1191.3351486490963
2018-03-04,1230.0787858590575
2018-03-11,1268.2365961802768
2018-03-18,1176.2920219709256
2018-03-25,1216.411955452056
2018-04-01,1300.7940379388208
2018-04-08,1266.2161754441388
2018-04-15,1330.8819345603913
2018-04-22,1327.2539488189952
2018-04-29,1294.6692026350481
2018-05-06,1288.3197542245352
2018-05-13,1336.205570226733
2018-05-20,1328.7551593554947
2018-05-27,1323.393415871287
2018-06-03,1339.158420953365
2018-06-10,1335.767890467367
2018-06-17,1363.1408411024343
2018-06-24,1367.4764488920252
2018-07-01,1323.440688021372
2018-07-08,1273.8828833114324
2018-07-15,1292.9877153389723
2018-07-22,1353.2544280270174
2018-07-29,1296.9190541280893
2018-08-05,1375.5720335301035
2018-08-12,1401.540025084244
2018-08-19,1297.4164380155282
2018-08-26,1345.6455483054558
2018-09-02,1315.305335755301
2018-09-09,1245.348065788436
2018-09-16,1354.7906500060076
2018-09-23,1273.3167731910964
2018-09-30,1262.3047955292404
2018-10-07,1317.8222320024504
2018-10-14,1318.3891669296204
2018-10-21,1313.4108774882402
2018-10-28,1234.3684734602798
2018-11-04,1262.8300837661727
2018-11-11,1195.4217848652484
2018-11-18,1162.7031198739314
2018-11-25,1075.4679020208541
2018-12-02,1234.5600015193575
2018-12-09,1218.554021372663
2018-12-16,1168.2606885010514
2018-12-23,1067.5454194725382
2018-12-30,1090.244098629285
2019-01-06,1096.2925149124328
2019-01-13,1223.068871830924
2019-01-20,1163.4144267198799
2019-01-27,1174.1118190868167
2019-02-03,1173.5694356035701
2019-02-10,1154.048517130522
2019-02-17,1144.507624788549
2019-02-24,1184.1450185088124
2019-03-03,1215.1065000237031
2019-03-10,1247.7000571944634
2019-03-17,1151.9935670079653
2019-03-24,1213.499370401968
2019-03-31,1279.4368222704798
2019-04-07,1254.3727747670957
2019-04-14,1316.7960049455837
2019-04-21,1328.9886252804672
2019-04-28,1293.299047465683
2019-05-05,1287.098234446307
2019-05-12,1312.5406570869118
2019-05-19,1322.909481421241
2019-05-26,1316.9786109789468
2019-06-02,1337.5820939097346
2019-06-09,1323.2448220700514
2019-06-16,1342.0936606571863
2019-06-23,1363.1860504390318
2019-06-30,1326.29126063419
2019-07-07,1265.884144459745
2019-07-14,1280.2242500685607
2019-07-21,1349.7908600221435
2019-07-28,1304.8523995337512
2019-08-04,1376.4600035522872
2019-08-11,1399.5983217601788
2019-08-18,1286.8227684464275
2019-08-25,1338.6062039000813
2019-09-01,1315.7019820865476
2019-09-08,1237.5055449473596
2019-09-15,1354.9533241463657
2019-09-22,1271.9527724253426
2019-09-29,1268.9926629493148
2019-10-06,1332.9570862433038
2019-10-13,1331.7112763458338
2019-10-20,1311.5478278249964
2019-10-27,1246.3990224587571
2019-11-03,1270.616478593995
2019-11-10,1203.7558334314467
2019-11-17,1162.4641533120564
2019-11-24,1072.1723192709683
2019-12-01,1233.453825248364
2019-12-08,1231.5412957394715
2019-12-15,1170.4763062873417
2019-12-22,1078.5242705580108
2019-12-29,1052.8127376986606
2020-01-05,1082.2996190632248
2020-01-12,1217.9582053917607
2020-01-19,1159.2805187958063
2020-01-26,1174.1107813629228
2020-02-02,1171.5687124318142
2020-02-09,1150.6246725667897
2020-02-16,1141.9554257432346
2020-02-23,1183.4983131366587
2020-03-01,1214.7356211918018
2020-03-08,1247.4694334037636
2020-03-15,1152.8743033335413
2020-03-22,1211.9133280917172
2020-03-29,1280.8037809150176
2020-04-05,1253.354331693313
2020-04-12,1315.6887102921976
2020-04-19,1325.9277291132776
2020-04-26,1291.4341789444904
2020-05-03,1285.037968828956
2020-05-10,1313.3312896399289
2020-05-17,1320.6437078336235
2020-05-24,1315.3695144958028
2020-05-31,1335.6822205282908
2020-06-07,1322.8151660063909
2020-06-14,1342.4412558051124
2020-06-21,1360.8187830327333
2020-06-28,1323.3006907020876
2020-07-05,1264.9236537442025
2020-07-12,1279.699894574596
2020-07-19,1347.3433741265876
2020-07-26,1300.662325884901
2020-08-02,1373.8369726439653
2020-08-09,1397.580382416868
2020-08-16,1285.8562669681862
2020-08-23,1336.7644105693007
2020-08-30,1312.8207494184242
2020-09-06,1236.297467528819
2020-09-13,1352.5129103273941
2020-09-20,1269.4495383478218
2020-09-27,1265.0072984986823
2020-10-04,1327.8058709901384
2020-10-11,1327.1229335083617
2020-10-18,1309.3538142544567
2020-10-25,1241.7206887712794
2020-11-01,1266.5078131687917
2020-11-08,1199.7506142909654
2020-11-15,1160.0231032156628
2020-11-22,1070.1425650616338
2020-11-29,1230.8556885031282
2020-12-06,1226.6533099620851
2020-12-13,1167.4887566778277
2020-12-20,1074.266644760655
2020-12-27,1056.1807295945148
2021-01-03,1081.756594619094
