,date,10001quantity,10029quantity,10027quantity,10035quantity,10002quantity,10003quantity,10036quantity,10011quantity,10025quantity,10019quantity,10031quantity,10032quantity,10013quantity,10009quantity,10026quantity,10018quantity,10012quantity,10023quantity,10033quantity,10014quantity,10016quantity,10022quantity,10030quantity,10039quantity,10024quantity,10010quantity,10034quantity,10040quantity,10017quantity,10037quantity,10028quantity,10128quantity,10007quantity,10038quantity,10021quantity,10004quantity,10020quantity,10006quantity,10005quantity,10280quantity,10044quantity,10282quantity,10048quantity,10069quantity,10111quantity,10281quantity,10115quantity
0,2006-01-01,26.0,25.0,27.0,14.0,19.0,25.0,16.0,18.0,31.0,23.0,18.0,16.0,15.0,15.0,16.0,10.0,15.0,5.0,13.0,10.0,9.0,12.0,20.0,10.0,11.0,8.0,12.0,3.0,9.0,5.0,5.0,13.0,4.0,4.0,8.0,2.0,4.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0
1,2006-01-08,147.0,137.0,134.0,76.0,97.0,87.0,95.0,90.0,93.0,71.0,96.0,72.0,66.0,55.0,72.0,64.0,44.0,49.0,60.0,51.0,45.0,41.0,47.0,47.0,53.0,29.0,34.0,38.0,36.0,28.0,28.0,38.0,10.0,25.0,27.0,10.0,6.0,5.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
2,2006-01-15,142.0,136.0,120.0,75.0,82.0,88.0,101.0,95.0,99.0,71.0,86.0,66.0,58.0,55.0,70.0,56.0,54.0,65.0,55.0,54.0,51.0,55.0,61.0,38.0,57.0,39.0,28.0,38.0,44.0,31.0,50.0,31.0,27.0,13.0,23.0,6.0,8.0,20.0,8.0,4.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0
3,2006-01-22,144.0,118.0,127.0,79.0,73.0,93.0,94.0,90.0,70.0,73.0,101.0,79.0,63.0,61.0,70.0,59.0,45.0,72.0,54.0,59.0,50.0,46.0,74.0,53.0,26.0,52.0,41.0,35.0,38.0,19.0,34.0,42.0,33.0,18.0,23.0,6.0,3.0,5.0,9.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
4,2006-01-29,137.0,118.0,135.0,76.0,91.0,94.0,98.0,94.0,74.0,76.0,101.0,91.0,65.0,52.0,76.0,69.0,55.0,55.0,71.0,54.0,60.0,68.0,52.0,42.0,37.0,46.0,46.0,29.0,50.0,28.0,36.0,26.0,29.0,21.0,18.0,11.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0
5,2006-02-05,166.0,117.0,107.0,76.0,93.0,107.0,85.0,107.0,87.0,78.0,78.0,69.0,71.0,37.0,68.0,78.0,62.0,48.0,51.0,57.0,62.0,72.0,46.0,41.0,64.0,40.0,38.0,29.0,34.0,15.0,35.0,35.0,21.0,21.0,26.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0
6,2006-02-12,93.0,124.0,124.0,66.0,76.0,90.0,82.0,90.0,109.0,84.0,86.0,62.0,58.0,66.0,67.0,54.0,58.0,59.0,55.0,60.0,47.0,47.0,60.0,48.0,53.0,45.0,44.0,27.0,41.0,21.0,20.0,26.0,33.0,22.0,32.0,13.0,7.0,6.0,6.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
7,2006-02-19,111.0,118.0,116.0,71.0,97.0,94.0,98.0,78.0,102.0,68.0,80.0,68.0,61.0,68.0,73.0,61.0,48.0,63.0,56.0,50.0,51.0,30.0,56.0,64.0,44.0,55.0,34.0,21.0,43.0,18.0,31.0,44.0,34.0,21.0,18.0,6.0,5.0,3.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0
8,2006-02-26,132.0,94.0,98.0,81.0,96.0,105.0,98.0,98.0,95.0,64.0,63.0,79.0,60.0,66.0,47.0,70.0,63.0,33.0,50.0,55.0,29.0,42.0,49.0,50.0,27.0,49.0,20.0,26.0,35.0,24.0,28.0,30.0,26.0,10.0,19.0,4.0,2.0,5.0,1.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
9,2006-03-05,162.0,121.0,116.0,74.0,106.0,75.0,75.0,94.0,80.0,77.0,107.0,64.0,44.0,65.0,55.0,69.0,58.0,53.0,72.0,52.0,52.0,43.0,51.0,55.0,43.0,56.0,29.0,23.0,40.0,21.0,38.0,33.0,21.0,8.0,26.0,6.0,1.0,6.0,8.0,4.0,3.0,8.0,4.0,1.0,0.0,0.0,0.0
